checking_acc_status,duration,cred_hist,purpose,loan_amt,saving_acc_bonds,present_employment_since,installment_rate,personal_stat_gender,other_debtors_guarantors,present_residence_since,property,age,other_installment_plans,housing,num_curr_loans,job,num_people_provide_maint,telephone,is_foreign_worker,target
no_cheking_acc,24,curr_loans_paid_duly,radio_tv,3430,below_1000,above_7y,3,male:single,none,2,car_or_other,31,none,own,1,skilled_official,2,yes,yes,good
no_cheking_acc,9,risky_acc_or_curr_loan_other,car_new,2134,below_100,below_4y,4,male:single,none,4,car_or_other,48,none,own,3,skilled_official,1,yes,yes,good
below_0,6,curr_loans_paid_duly,radio_tv,2647,below_1000,below_4y,2,male:single,none,3,real_estate,44,none,rent,1,skilled_official,2,no,yes,good
below_0,10,risky_acc_or_curr_loan_other,car_new,2241,below_100,below_1y,1,male:single,none,3,real_estate,48,none,rent,2,unskilled_resident,2,no,no,good
below_200,12,risky_acc_or_curr_loan_other,car_used,1804,below_500,below_1y,3,male:single,none,4,life_insurance_or_aggreements,44,none,own,1,skilled_official,1,no,yes,good
no_cheking_acc,10,risky_acc_or_curr_loan_other,furniture_equipment,2069,unknown_no_saving_acc,below_4y,2,male:married_or_widowed,none,1,car_or_other,26,none,own,2,skilled_official,1,no,no,good
below_0,6,curr_loans_paid_duly,furniture_equipment,1374,below_100,below_4y,1,male:single,none,2,real_estate,36,bank,own,1,unskilled_resident,1,yes,yes,good
no_cheking_acc,6,no_loan_or_paid_duly_other,radio_tv,426,below_100,above_7y,4,male:married_or_widowed,none,4,car_or_other,39,none,own,1,unskilled_resident,1,no,yes,good
above:200,12,paid_duly_this_bank,radio_tv,409,above_1000,below_4y,3,female:divorced_or_married,none,3,real_estate,42,none,rent,2,skilled_official,1,no,yes,good
below_200,7,curr_loans_paid_duly,radio_tv,2415,below_100,below_4y,3,male:single,guarantor,2,real_estate,34,none,own,1,skilled_official,1,no,yes,good
below_0,60,delay_in_past,business,6836,below_100,above_7y,3,male:single,none,4,unknown_or_no_property,63,none,own,2,skilled_official,1,yes,yes,bad
below_200,18,curr_loans_paid_duly,business,1913,above_1000,below_1y,3,male:married_or_widowed,none,3,real_estate,36,bank,own,1,skilled_official,1,yes,yes,good
below_0,24,curr_loans_paid_duly,furniture_equipment,4020,below_100,below_4y,2,male:single,none,2,car_or_other,27,store,own,1,skilled_official,1,no,yes,good
below_200,18,curr_loans_paid_duly,car_new,5866,below_500,below_4y,2,male:single,none,2,car_or_other,30,none,own,2,skilled_official,1,yes,yes,good
no_cheking_acc,12,risky_acc_or_curr_loan_other,business,1264,unknown_no_saving_acc,above_7y,4,male:single,none,4,unknown_or_no_property,57,none,rent,1,unskilled_resident,1,no,yes,good
above:200,12,curr_loans_paid_duly,furniture_equipment,1474,below_100,below_1y,4,female:divorced_or_married,none,1,life_insurance_or_aggreements,33,bank,own,1,management_or_self_emp,1,yes,yes,good
below_200,45,risky_acc_or_curr_loan_other,radio_tv,4746,below_100,below_1y,4,male:single,none,2,life_insurance_or_aggreements,25,none,own,2,unskilled_resident,1,no,yes,bad
no_cheking_acc,48,risky_acc_or_curr_loan_other,education,6110,below_100,below_4y,1,male:single,none,3,unknown_or_no_property,31,bank,for_free,1,skilled_official,1,yes,yes,good
above:200,18,curr_loans_paid_duly,radio_tv,2100,below_100,below_4y,4,male:single,co_applicant,2,real_estate,37,store,own,1,skilled_official,1,no,yes,bad
above:200,10,curr_loans_paid_duly,domestic_applience,1225,below_100,below_4y,2,male:single,none,2,car_or_other,37,none,own,1,skilled_official,1,yes,yes,good
below_200,9,curr_loans_paid_duly,radio_tv,458,below_100,below_4y,4,male:single,none,3,real_estate,24,none,own,1,skilled_official,1,no,yes,good
no_cheking_acc,30,curr_loans_paid_duly,radio_tv,2333,below_1000,above_7y,4,male:single,none,2,car_or_other,30,bank,own,1,management_or_self_emp,1,no,yes,good
below_200,12,curr_loans_paid_duly,radio_tv,1158,below_1000,below_4y,3,male:divorced,none,1,car_or_other,26,none,own,1,skilled_official,1,yes,yes,good
below_200,18,delay_in_past,repairs,6204,below_100,below_4y,2,male:single,none,4,real_estate,44,none,own,1,unskilled_resident,2,yes,yes,good
below_0,30,risky_acc_or_curr_loan_other,car_used,6187,below_500,below_7y,1,male:married_or_widowed,none,4,car_or_other,24,none,rent,2,skilled_official,1,no,yes,good
below_0,48,risky_acc_or_curr_loan_other,car_used,6143,below_100,above_7y,4,female:divorced_or_married,none,4,unknown_or_no_property,58,store,for_free,2,unskilled_resident,1,no,yes,bad
no_cheking_acc,11,risky_acc_or_curr_loan_other,car_new,1393,below_100,below_1y,4,female:divorced_or_married,none,4,car_or_other,35,none,own,2,management_or_self_emp,1,no,yes,good
no_cheking_acc,36,curr_loans_paid_duly,radio_tv,2299,below_1000,above_7y,4,male:single,none,4,car_or_other,39,none,own,1,skilled_official,1,no,yes,good
below_0,6,curr_loans_paid_duly,car_used,1352,below_1000,unemployed,1,female:divorced_or_married,none,2,life_insurance_or_aggreements,23,none,rent,1,unemployed_non_resident,1,yes,yes,good
no_cheking_acc,11,risky_acc_or_curr_loan_other,car_new,7228,below_100,below_4y,1,male:single,none,4,life_insurance_or_aggreements,39,none,own,2,unskilled_resident,1,no,yes,good
no_cheking_acc,12,curr_loans_paid_duly,radio_tv,2073,below_500,below_4y,4,female:divorced_or_married,co_applicant,2,real_estate,28,none,own,1,skilled_official,1,no,yes,good
below_200,24,delay_in_past,furniture_equipment,2333,unknown_no_saving_acc,below_1y,4,male:single,none,2,life_insurance_or_aggreements,29,bank,own,1,unskilled_resident,1,no,yes,good
below_200,27,delay_in_past,car_used,5965,below_100,above_7y,1,male:single,none,2,car_or_other,30,none,own,2,management_or_self_emp,1,yes,yes,good
no_cheking_acc,12,curr_loans_paid_duly,radio_tv,1262,below_100,below_4y,3,male:single,none,2,car_or_other,25,none,own,1,skilled_official,1,no,yes,good
no_cheking_acc,18,curr_loans_paid_duly,car_used,3378,unknown_no_saving_acc,below_4y,2,male:single,none,1,life_insurance_or_aggreements,31,none,own,1,skilled_official,1,yes,yes,good
below_200,36,delay_in_past,car_new,2225,below_100,above_7y,4,male:single,none,4,unknown_or_no_property,57,bank,for_free,2,skilled_official,1,yes,yes,bad
no_cheking_acc,6,paid_duly_this_bank,car_new,783,unknown_no_saving_acc,below_4y,1,male:single,guarantor,2,real_estate,26,store,own,1,unskilled_resident,2,no,yes,good
below_200,12,curr_loans_paid_duly,radio_tv,6468,unknown_no_saving_acc,unemployed,2,male:single,none,1,unknown_or_no_property,52,none,own,1,management_or_self_emp,1,yes,yes,bad
no_cheking_acc,36,risky_acc_or_curr_loan_other,radio_tv,9566,below_100,below_4y,2,female:divorced_or_married,none,2,car_or_other,31,store,own,2,skilled_official,1,no,yes,good
above:200,18,curr_loans_paid_duly,car_new,1961,below_100,above_7y,3,female:divorced_or_married,none,2,car_or_other,23,none,own,1,management_or_self_emp,1,no,yes,good
below_0,36,risky_acc_or_curr_loan_other,furniture_equipment,6229,below_100,below_1y,4,female:divorced_or_married,co_applicant,4,unknown_or_no_property,23,none,rent,2,unskilled_resident,1,yes,yes,bad
below_200,9,curr_loans_paid_duly,business,1391,below_100,below_4y,2,male:married_or_widowed,none,1,real_estate,27,bank,own,1,skilled_official,1,yes,yes,good
below_200,15,risky_acc_or_curr_loan_other,radio_tv,1537,unknown_no_saving_acc,above_7y,4,male:single,guarantor,4,real_estate,50,none,own,2,skilled_official,1,yes,yes,good
below_200,36,no_loan_or_paid_duly_other,business,1953,below_100,above_7y,4,male:single,none,4,unknown_or_no_property,61,none,for_free,1,management_or_self_emp,1,yes,yes,bad
below_200,48,no_loan_or_paid_duly_other,business,14421,below_100,below_4y,2,male:single,none,2,car_or_other,25,none,own,1,skilled_official,1,yes,yes,bad
no_cheking_acc,24,curr_loans_paid_duly,radio_tv,3181,below_100,below_1y,4,female:divorced_or_married,none,4,life_insurance_or_aggreements,26,none,own,1,skilled_official,1,yes,yes,good
no_cheking_acc,27,curr_loans_paid_duly,repairs,5190,unknown_no_saving_acc,above_7y,4,male:single,none,4,life_insurance_or_aggreements,48,none,own,4,skilled_official,2,yes,yes,good
no_cheking_acc,12,curr_loans_paid_duly,radio_tv,2171,below_100,below_1y,2,female:divorced_or_married,none,2,car_or_other,29,bank,own,1,skilled_official,1,no,yes,good
below_200,12,curr_loans_paid_duly,car_new,1007,above_1000,below_4y,4,male:married_or_widowed,none,1,real_estate,22,none,own,1,skilled_official,1,no,yes,good
no_cheking_acc,36,curr_loans_paid_duly,education,1819,below_100,below_4y,4,male:single,none,4,unknown_or_no_property,37,store,for_free,1,skilled_official,1,yes,yes,bad
no_cheking_acc,36,curr_loans_paid_duly,radio_tv,2394,unknown_no_saving_acc,below_4y,4,female:divorced_or_married,none,4,car_or_other,25,none,own,1,skilled_official,1,no,yes,good
no_cheking_acc,36,curr_loans_paid_duly,car_used,8133,below_100,below_4y,1,female:divorced_or_married,none,2,life_insurance_or_aggreements,30,bank,own,1,skilled_official,1,no,yes,good
no_cheking_acc,7,risky_acc_or_curr_loan_other,radio_tv,730,unknown_no_saving_acc,above_7y,4,male:single,none,2,life_insurance_or_aggreements,46,none,rent,2,unskilled_resident,1,yes,yes,good
below_0,8,risky_acc_or_curr_loan_other,others,1164,below_100,above_7y,3,male:single,none,4,unknown_or_no_property,51,bank,for_free,2,management_or_self_emp,2,yes,yes,good
below_200,42,risky_acc_or_curr_loan_other,business,5954,below_100,below_7y,2,female:divorced_or_married,none,1,real_estate,41,bank,own,2,unskilled_resident,1,no,yes,good
below_0,36,curr_loans_paid_duly,education,1977,unknown_no_saving_acc,above_7y,4,male:single,none,4,unknown_or_no_property,40,none,own,1,management_or_self_emp,1,yes,yes,bad
below_0,12,risky_acc_or_curr_loan_other,car_used,1526,below_100,above_7y,4,male:single,none,4,unknown_or_no_property,66,none,for_free,2,management_or_self_emp,1,no,yes,good
below_0,42,curr_loans_paid_duly,radio_tv,3965,below_100,below_1y,4,male:single,none,3,car_or_other,34,none,own,1,skilled_official,1,no,yes,bad
below_200,11,delay_in_past,radio_tv,4771,below_100,below_7y,2,male:single,none,4,life_insurance_or_aggreements,51,none,own,1,skilled_official,1,no,yes,good
no_cheking_acc,54,no_loan_or_paid_duly_other,car_used,9436,unknown_no_saving_acc,below_4y,2,male:single,none,2,life_insurance_or_aggreements,39,none,own,1,unskilled_resident,2,no,yes,good
below_200,30,curr_loans_paid_duly,furniture_equipment,3832,below_100,below_1y,2,male:married_or_widowed,none,1,life_insurance_or_aggreements,22,none,own,1,skilled_official,1,no,yes,good
no_cheking_acc,24,curr_loans_paid_duly,radio_tv,5943,unknown_no_saving_acc,below_1y,1,female:divorced_or_married,none,1,car_or_other,44,none,own,2,skilled_official,1,yes,yes,bad
no_cheking_acc,15,curr_loans_paid_duly,radio_tv,1213,below_1000,above_7y,4,male:single,none,3,life_insurance_or_aggreements,47,store,own,1,skilled_official,1,yes,yes,good
no_cheking_acc,18,curr_loans_paid_duly,business,1568,below_500,below_4y,3,female:divorced_or_married,none,4,life_insurance_or_aggreements,24,none,rent,1,unskilled_resident,1,no,yes,good
below_0,24,curr_loans_paid_duly,others,1755,below_100,above_7y,4,female:divorced_or_married,guarantor,4,real_estate,58,none,own,1,unskilled_resident,1,yes,yes,good
below_0,10,curr_loans_paid_duly,radio_tv,2315,below_100,above_7y,3,male:single,none,4,real_estate,52,none,own,1,unskilled_resident,1,no,yes,good
no_cheking_acc,12,risky_acc_or_curr_loan_other,business,1412,below_100,below_4y,4,female:divorced_or_married,guarantor,2,real_estate,29,none,own,2,management_or_self_emp,1,yes,yes,good
below_200,18,risky_acc_or_curr_loan_other,furniture_equipment,1295,below_100,below_1y,4,female:divorced_or_married,none,1,life_insurance_or_aggreements,27,none,own,2,skilled_official,1,no,yes,good
below_200,36,curr_loans_paid_duly,education,12612,below_500,below_4y,1,male:single,none,4,unknown_or_no_property,47,none,for_free,1,skilled_official,2,yes,yes,bad
below_0,18,curr_loans_paid_duly,car_new,2249,below_500,below_7y,4,male:single,none,3,car_or_other,30,none,own,1,management_or_self_emp,2,yes,yes,good
below_0,12,no_loan_or_paid_duly_other,repairs,1108,below_100,below_7y,4,male:single,none,3,real_estate,28,none,own,2,skilled_official,1,no,yes,bad
no_cheking_acc,12,risky_acc_or_curr_loan_other,radio_tv,618,below_100,above_7y,4,male:single,none,4,real_estate,56,none,own,1,skilled_official,1,no,yes,good
below_0,12,risky_acc_or_curr_loan_other,car_used,1409,below_100,above_7y,4,male:single,none,3,real_estate,54,none,own,1,skilled_official,1,no,yes,good
no_cheking_acc,12,risky_acc_or_curr_loan_other,radio_tv,797,unknown_no_saving_acc,above_7y,4,female:divorced_or_married,none,3,life_insurance_or_aggreements,33,bank,own,1,unskilled_resident,2,no,yes,bad
above:200,24,risky_acc_or_curr_loan_other,furniture_equipment,3617,unknown_no_saving_acc,above_7y,4,male:single,co_applicant,4,unknown_or_no_property,20,none,rent,2,skilled_official,1,no,yes,good
below_200,12,curr_loans_paid_duly,car_new,1318,above_1000,above_7y,4,male:single,none,4,real_estate,54,none,own,1,skilled_official,1,yes,yes,good
below_200,54,no_loan_or_paid_duly_other,business,15945,below_100,below_1y,3,male:single,none,4,unknown_or_no_property,58,none,rent,1,skilled_official,1,yes,yes,bad
no_cheking_acc,12,risky_acc_or_curr_loan_other,education,2012,unknown_no_saving_acc,below_7y,4,female:divorced_or_married,none,2,car_or_other,61,none,own,1,skilled_official,1,no,yes,good
below_200,18,curr_loans_paid_duly,business,2622,below_500,below_4y,4,male:single,none,4,car_or_other,34,none,own,1,skilled_official,1,no,yes,good
below_200,36,risky_acc_or_curr_loan_other,radio_tv,2337,below_100,above_7y,4,male:single,none,4,real_estate,36,none,own,1,skilled_official,1,no,yes,good
below_200,20,delay_in_past,car_used,7057,unknown_no_saving_acc,below_7y,3,male:single,none,4,life_insurance_or_aggreements,36,bank,rent,2,management_or_self_emp,2,yes,yes,good
no_cheking_acc,24,curr_loans_paid_duly,car_new,1469,below_500,above_7y,4,male:married_or_widowed,none,4,real_estate,41,none,rent,1,unskilled_resident,1,no,yes,good
below_200,36,curr_loans_paid_duly,radio_tv,2323,below_100,below_7y,4,male:single,none,4,car_or_other,24,none,rent,1,skilled_official,1,no,yes,good
no_cheking_acc,6,delay_in_past,radio_tv,932,below_100,below_4y,3,female:divorced_or_married,none,2,real_estate,24,none,own,1,skilled_official,1,no,yes,good
below_200,9,risky_acc_or_curr_loan_other,furniture_equipment,1919,below_100,below_7y,4,male:single,none,3,car_or_other,35,none,rent,1,skilled_official,1,yes,yes,good
no_cheking_acc,12,curr_loans_paid_duly,car_used,2445,unknown_no_saving_acc,below_1y,2,male:married_or_widowed,none,4,car_or_other,26,none,rent,1,skilled_official,1,yes,yes,good
below_200,24,risky_acc_or_curr_loan_other,others,11938,below_100,below_4y,2,male:single,co_applicant,3,car_or_other,39,none,own,2,management_or_self_emp,2,yes,yes,bad
no_cheking_acc,18,paid_duly_this_bank,car_new,6458,below_100,above_7y,2,male:single,none,4,unknown_or_no_property,39,bank,own,2,management_or_self_emp,2,yes,yes,bad
below_200,12,curr_loans_paid_duly,car_new,6078,below_100,below_7y,2,male:single,none,2,car_or_other,32,none,own,1,skilled_official,1,no,yes,good
below_0,24,curr_loans_paid_duly,furniture_equipment,7721,unknown_no_saving_acc,below_1y,1,female:divorced_or_married,none,2,life_insurance_or_aggreements,30,none,own,1,skilled_official,1,yes,no,good
below_200,14,curr_loans_paid_duly,business,1410,below_1000,above_7y,1,male:married_or_widowed,none,2,real_estate,35,none,own,1,skilled_official,1,yes,yes,good
below_200,6,delay_in_past,business,1449,below_500,above_7y,1,male:divorced,none,2,car_or_other,31,bank,own,2,skilled_official,2,no,yes,good
above:200,15,curr_loans_paid_duly,education,392,below_100,below_1y,4,female:divorced_or_married,none,4,life_insurance_or_aggreements,23,none,rent,1,skilled_official,1,yes,yes,good
below_200,18,curr_loans_paid_duly,car_new,6260,below_100,below_7y,3,male:single,none,3,real_estate,28,none,rent,1,unskilled_resident,1,no,yes,good
no_cheking_acc,36,risky_acc_or_curr_loan_other,car_new,7855,below_100,below_4y,4,female:divorced_or_married,none,2,real_estate,25,store,own,2,skilled_official,1,yes,yes,bad
below_0,12,curr_loans_paid_duly,radio_tv,1680,below_1000,above_7y,3,male:married_or_widowed,none,1,real_estate,35,none,own,1,skilled_official,1,no,yes,good
no_cheking_acc,48,risky_acc_or_curr_loan_other,radio_tv,3578,unknown_no_saving_acc,above_7y,4,male:single,none,1,real_estate,47,none,own,1,skilled_official,1,yes,yes,good
below_0,42,curr_loans_paid_duly,radio_tv,7174,unknown_no_saving_acc,below_7y,4,female:divorced_or_married,none,3,car_or_other,30,none,own,1,management_or_self_emp,1,yes,yes,bad
below_0,10,risky_acc_or_curr_loan_other,furniture_equipment,2132,unknown_no_saving_acc,below_1y,2,female:divorced_or_married,co_applicant,3,real_estate,27,none,rent,2,skilled_official,1,no,no,good
below_0,33,risky_acc_or_curr_loan_other,furniture_equipment,4281,below_1000,below_4y,1,female:divorced_or_married,none,4,car_or_other,23,none,own,2,skilled_official,1,no,yes,bad
below_200,12,risky_acc_or_curr_loan_other,car_new,2366,below_1000,below_7y,3,male:divorced,none,3,car_or_other,36,none,own,1,management_or_self_emp,1,yes,yes,good
below_0,21,curr_loans_paid_duly,radio_tv,1835,below_100,below_4y,3,female:divorced_or_married,none,2,real_estate,25,none,own,2,skilled_official,1,yes,yes,bad
no_cheking_acc,24,risky_acc_or_curr_loan_other,car_used,3868,below_100,above_7y,4,female:divorced_or_married,none,2,car_or_other,41,none,rent,2,management_or_self_emp,1,yes,yes,good
no_cheking_acc,12,curr_loans_paid_duly,furniture_equipment,1768,below_100,below_4y,3,male:single,none,2,real_estate,24,none,rent,1,unskilled_resident,1,no,yes,good
above:200,10,risky_acc_or_curr_loan_other,car_new,781,below_100,above_7y,4,male:single,none,4,unknown_or_no_property,63,none,for_free,2,skilled_official,1,yes,yes,good
below_200,18,curr_loans_paid_duly,furniture_equipment,1924,unknown_no_saving_acc,below_1y,4,female:divorced_or_married,none,3,real_estate,27,none,rent,1,skilled_official,1,no,yes,bad
below_0,12,risky_acc_or_curr_loan_other,car_new,2121,below_100,below_4y,4,male:single,none,2,life_insurance_or_aggreements,30,none,own,2,skilled_official,1,no,yes,good
below_0,12,curr_loans_paid_duly,radio_tv,701,below_100,below_4y,4,male:married_or_widowed,none,2,real_estate,40,none,own,1,unskilled_resident,1,no,yes,good
below_200,12,curr_loans_paid_duly,repairs,639,below_100,below_4y,4,male:single,none,2,car_or_other,30,none,own,1,skilled_official,1,no,yes,bad
below_200,12,risky_acc_or_curr_loan_other,car_used,1860,below_100,unemployed,4,male:single,none,2,car_or_other,34,none,own,2,management_or_self_emp,1,yes,yes,good
below_0,12,risky_acc_or_curr_loan_other,car_new,3499,below_100,below_4y,3,female:divorced_or_married,co_applicant,2,real_estate,29,none,own,2,skilled_official,1,no,yes,bad
below_200,48,curr_loans_paid_duly,car_new,8487,unknown_no_saving_acc,below_7y,1,female:divorced_or_married,none,2,car_or_other,24,none,own,1,skilled_official,1,no,yes,good
below_0,36,delay_in_past,education,6887,below_100,below_4y,4,male:single,none,3,life_insurance_or_aggreements,29,store,own,1,skilled_official,1,yes,yes,bad
no_cheking_acc,15,curr_loans_paid_duly,furniture_equipment,2708,below_100,below_1y,2,male:single,none,3,life_insurance_or_aggreements,27,bank,own,2,unskilled_resident,1,no,yes,good
no_cheking_acc,18,curr_loans_paid_duly,furniture_equipment,1984,below_100,below_4y,4,male:single,none,4,unknown_or_no_property,47,bank,for_free,2,skilled_official,1,no,yes,good
no_cheking_acc,60,curr_loans_paid_duly,radio_tv,10144,below_500,below_7y,2,female:divorced_or_married,none,4,real_estate,21,none,own,1,skilled_official,1,yes,yes,good
no_cheking_acc,12,risky_acc_or_curr_loan_other,radio_tv,1240,unknown_no_saving_acc,above_7y,4,female:divorced_or_married,none,2,real_estate,38,none,own,2,skilled_official,1,yes,yes,good
no_cheking_acc,27,delay_in_past,car_used,8613,above_1000,below_4y,2,male:single,none,2,car_or_other,27,none,own,2,skilled_official,1,no,yes,good
below_200,12,curr_loans_paid_duly,radio_tv,766,below_1000,below_4y,4,male:single,none,3,real_estate,66,none,own,1,unskilled_resident,1,no,yes,bad
below_200,15,risky_acc_or_curr_loan_other,radio_tv,2728,unknown_no_saving_acc,below_7y,4,male:single,guarantor,2,real_estate,35,bank,own,3,skilled_official,1,yes,yes,good
above:200,12,curr_loans_paid_duly,radio_tv,1881,below_100,below_4y,2,female:divorced_or_married,none,2,car_or_other,44,none,rent,1,unskilled_resident,1,yes,yes,good
above:200,6,curr_loans_paid_duly,car_new,709,above_1000,below_1y,2,male:married_or_widowed,none,2,real_estate,27,none,own,1,unemployed_non_resident,1,no,no,good
below_200,36,curr_loans_paid_duly,radio_tv,4795,below_100,below_1y,4,female:divorced_or_married,none,1,unknown_or_no_property,30,none,own,1,management_or_self_emp,1,yes,yes,good
below_0,27,curr_loans_paid_duly,radio_tv,3416,below_100,below_4y,3,male:single,none,2,car_or_other,27,none,own,1,management_or_self_emp,1,no,yes,good
below_0,18,curr_loans_paid_duly,furniture_equipment,2462,below_100,below_4y,2,male:single,none,2,car_or_other,22,none,own,1,skilled_official,1,no,yes,bad
no_cheking_acc,21,risky_acc_or_curr_loan_other,furniture_equipment,2288,below_100,below_1y,4,female:divorced_or_married,none,4,life_insurance_or_aggreements,23,none,own,1,skilled_official,1,yes,yes,good
below_200,48,paid_duly_this_bank,business,3566,below_500,below_7y,4,male:single,none,2,car_or_other,30,none,own,1,skilled_official,1,no,yes,good
below_0,6,risky_acc_or_curr_loan_other,car_new,860,below_100,above_7y,1,female:divorced_or_married,none,4,unknown_or_no_property,39,none,own,2,skilled_official,1,yes,yes,good
no_cheking_acc,12,risky_acc_or_curr_loan_other,car_new,682,below_500,below_7y,4,female:divorced_or_married,none,3,car_or_other,51,none,own,2,skilled_official,1,yes,yes,good
below_0,36,risky_acc_or_curr_loan_other,furniture_equipment,5371,below_100,below_4y,3,male:single,guarantor,2,life_insurance_or_aggreements,28,none,own,2,skilled_official,1,no,yes,good
no_cheking_acc,18,risky_acc_or_curr_loan_other,radio_tv,1582,above_1000,above_7y,4,male:single,none,4,car_or_other,46,none,own,2,skilled_official,1,no,yes,good
no_cheking_acc,6,curr_loans_paid_duly,radio_tv,1346,below_500,above_7y,2,male:single,none,4,unknown_or_no_property,42,bank,for_free,1,skilled_official,2,yes,yes,good
no_cheking_acc,10,curr_loans_paid_duly,radio_tv,1924,below_100,below_4y,1,male:single,none,4,life_insurance_or_aggreements,38,none,own,1,skilled_official,1,yes,no,good
above:200,36,curr_loans_paid_duly,radio_tv,5848,below_100,below_4y,4,male:single,none,1,car_or_other,24,none,own,1,skilled_official,1,no,yes,good
below_200,24,risky_acc_or_curr_loan_other,car_used,7758,above_1000,above_7y,2,female:divorced_or_married,none,4,unknown_or_no_property,29,none,rent,1,skilled_official,1,no,yes,good
below_200,24,delay_in_past,business,6967,below_500,below_7y,4,male:single,none,4,car_or_other,36,none,rent,1,management_or_self_emp,1,yes,yes,good
below_0,12,curr_loans_paid_duly,furniture_equipment,1282,below_100,below_4y,2,female:divorced_or_married,none,4,car_or_other,20,none,rent,1,skilled_official,1,no,yes,bad
below_0,9,risky_acc_or_curr_loan_other,repairs,1288,below_500,above_7y,3,male:single,guarantor,4,real_estate,48,none,own,2,skilled_official,2,no,no,good
below_0,12,paid_duly_this_bank,retraining,339,below_100,above_7y,4,male:married_or_widowed,none,1,car_or_other,45,bank,own,1,unskilled_resident,1,no,yes,good
below_200,24,curr_loans_paid_duly,car_new,3512,below_500,below_7y,2,male:single,none,3,car_or_other,38,bank,own,2,skilled_official,1,yes,yes,good
no_cheking_acc,6,risky_acc_or_curr_loan_other,radio_tv,1898,unknown_no_saving_acc,below_4y,1,male:single,none,2,real_estate,34,none,own,2,unskilled_resident,2,no,yes,good
no_cheking_acc,24,risky_acc_or_curr_loan_other,radio_tv,2872,below_500,above_7y,3,male:single,none,4,real_estate,36,none,own,1,skilled_official,2,yes,yes,good
no_cheking_acc,18,risky_acc_or_curr_loan_other,car_new,1055,below_100,below_1y,4,female:divorced_or_married,none,1,life_insurance_or_aggreements,30,none,own,2,skilled_official,1,no,yes,good
